CatalogNumber,Country,NearestPlace,Locality,Material,Function,Period,CDLI,OriginalNumber,Date,Genre,Lines,PrimaryPublication,Transliteration,ImageURIs
BC.001587,,,,clay,tablet,Early Old Babylonian,P405238,MLC 01590,RIAN.UK.xx.09.24,archival,"obv7, LoE2, rev6, UE2","SANER 2, 41",3 sag-ir3-tur-me$ $a MI-I$-NI $a ana I$tat-AN-ZA-GIR2(?) $a 2 gur $e-bi [nig2-$]u(?) Sin-$emi ugula lu2.asiri,http://deliver.odai.yale.edu/content/repository/YPM/id/593018/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593019/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593020/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593021/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593022/format/3
BC.001645,,,,clay,tablet,Early Neo-Babylonian?,P507490,MLC 01648,,archival,"obv10, rev13",unpublished,,http://deliver.odai.yale.edu/content/repository/YPM/id/593023/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593024/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593025/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593026/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593027/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593028/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593029/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593030/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593031/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593032/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593033/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593034/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593035/format/3
BC.001723,,,,clay,tablet,Late Old Babylonian,P296403,MLC 01726,ABE$.BA.C.01.01,archival,"obv11, rev6","Goetze apud Sollberger, JCS 5, 1951, 95 (C)","by Awil-[...] to Ali-talimi and others whose names are illegible; a2-bi mu-1-kam 6,0,0,0 $e-gur",http://deliver.odai.yale.edu/content/repository/YPM/id/593036/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593037/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593038/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593039/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593040/format/3
BC.001786,,,,clay,tablet,Early Neo-Babylonian,P296456,MLC 01789,NN.DE.04.04.16,archival,"obv7, LoE1, rev4","BRM 1, 6 (C)",archive unknown; administrative transaction,http://deliver.odai.yale.edu/content/repository/YPM/id/593041/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593042/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593043/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593044/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593045/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593046/format/3
BC.001787,,,,clay,tablet,Early Neo-Babylonian,P296457,MLC 01790,NN.DE.07.05.20,archival,"obv4, LoE1","BRM 1, 7 (C)",archive unknown; administrative transaction,http://deliver.odai.yale.edu/content/repository/YPM/id/593047/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593048/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593049/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593050/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593051/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593052/format/3
BC.001788,,,,clay,tablet,Early Neo-Babylonian,P296458,MLC 01791,NN.DE.07.06.10?,archival,"obv6, rev2","BRM 1, 8 (C)",archive unknown; administrative transaction,http://deliver.odai.yale.edu/content/repository/YPM/id/593053/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593054/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593055/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593056/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593057/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593058/format/3
BC.001789,,,,clay,tablet,Early Dynastic,P296459,MLC 01792,NN.DE.07.09.03,archival,"obv8, rev2","BRM 1, 9 (C)",archive unknown; administrative transaction,http://deliver.odai.yale.edu/content/repository/YPM/id/593059/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593060/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593061/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593062/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593063/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593064/format/3
BC.001790,,,,clay,tablet,Early Neo-Babylonian,P296460,MLC 01793,NN.DE.08.01.17,archival,"obv5, rev3","BRM 1, 10 (C)",archive unknown; administrative transaction,http://deliver.odai.yale.edu/content/repository/YPM/id/593065/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593066/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593067/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593068/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593069/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593070/format/3
BC.001791,,,,clay,tablet,Early Neo-Babylonian,P296461,MLC 01794,NN.DE.09.01.10,archival,obv5,"BRM 1, 11 (C)",archive unknown; administrative transaction,http://deliver.odai.yale.edu/content/repository/YPM/id/593071/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593072/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593073/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593074/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593075/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593076/format/3
BC.001792,,,,clay,tablet,Early Neo-Babylonian,P296462,MLC 01795,NN.DE.09.07.12,archival,"obv5, rev2","BRM 1, 12 (C)",archive unknown; administrative transaction,http://deliver.odai.yale.edu/content/repository/YPM/id/593077/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593078/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593079/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593080/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593081/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593082/format/3
