CatalogNumber,Country,NearestPlace,Locality,Material,Function,Period,CDLI,OriginalNumber,Date,Genre,Lines,PrimaryPublication,Transliteration,ImageURIs
BC.015933,Iraq,Umma (Tell Jokha),,clay,tablet,Ur III,P144385,YBC 01192,$S.UR3.01.--.--,archival,"obv10, rev9",SAT No. 1185 (T),,http://deliver.odai.yale.edu/content/repository/YPM/id/711935/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/711936/format/3
BC.015934,Iraq,Umma (Tell Jokha),,clay,tablet,Ur III,P145011,YBC 01193,$S.UR3.07.--.--,archival,"obv14, rev7",SAT No. 1811 (T),,http://deliver.odai.yale.edu/content/repository/YPM/id/711937/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/711938/format/3
BC.015935,Iraq,Umma (Tell Jokha),,clay,tablet,Ur III,P293342,YBC 01194,nd.UR3.--.--.--,archival,"obv15, rev17, UE1, LeE4",unpublished,,http://deliver.odai.yale.edu/content/repository/YPM/id/711939/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/711940/format/3
BC.015936,Iraq,Umma (Tell Jokha),,clay,tablet,Ur III,P144970,YBC 01195,$S.UR3.06.--.--,archival,"obv11, rev8",SAT No. 1770 (T),,http://deliver.odai.yale.edu/content/repository/YPM/id/711941/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/711942/format/3
BC.015937,Iraq,Umma (Tell Jokha),,clay,tablet,Ur III,P144796,YBC 01196,$S.UR3.05.02.--,archival,"obv13, rev7",SAT No. 1596 (T),,http://deliver.odai.yale.edu/content/repository/YPM/id/711943/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/711944/format/3
BC.015938,Iraq,Umma (Tell Jokha),,clay,tablet,Ur III,P142156,YBC 01197,$.UR3.42.02.--,archival,"obv5, rev2","YOS 4, 92 (C)",,http://deliver.odai.yale.edu/content/repository/YPM/id/711945/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/711946/format/3
BC.015939,Iraq,Umma (Tell Jokha),,clay,tablet,Ur III,P144555,YBC 01198,$S.UR3.03.--.--,archival,"obv6, rev3",SAT No. 1355 (T),,http://deliver.odai.yale.edu/content/repository/YPM/id/711947/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/711948/format/3
BC.015940,Iraq,Umma (Tell Jokha),,clay,tablet,Ur III,P142144,YBC 01199,IS.UR3.01.--.--,archival,"obv4, rev2","YOS 4, 80 (C)",,http://deliver.odai.yale.edu/content/repository/YPM/id/598369/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/598370/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/711949/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/711950/format/3
BC.015941,Iraq,Umma (Tell Jokha),,clay,tablet,Ur III,P143951,YBC 01200,AS.UR3.03.--.--,archival,"obv5, rev5+",SAT No. 751 (T),,http://deliver.odai.yale.edu/content/repository/YPM/id/711951/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/711952/format/3
BC.015942,Iraq,Umma (Tell Jokha),,clay,tablet,Ur III,P144712,YBC 01201,$S.UR3.04.09.22,archival,"obv5, rev4",SAT No. 1512 (T),,http://deliver.odai.yale.edu/content/repository/YPM/id/711953/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/711954/format/3
BC.015943,Iraq,Umma (Tell Jokha),,clay,tablet,Ur III,P143258,YBC 01202,$.UR3.44.07.--,archival,"obv9, rev12",SAT No. 59 (T),,http://deliver.odai.yale.edu/content/repository/YPM/id/711955/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/711956/format/3
BC.015944,Iraq,Umma (Tell Jokha),,clay,tablet,Ur III,P144489,YBC 01203,$S.UR3.02.--.--,archival,"obv5, rev2",SAT No. 1289 (T),,http://deliver.odai.yale.edu/content/repository/YPM/id/711957/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/711958/format/3
BC.015945,Iraq,Drehem,,clay,tablet,Ur III,P145127,YBC 01204,IS.UR3.01.01.--,archival,"obv6, rev5",SAT No. 1927 (T),,http://deliver.odai.yale.edu/content/repository/YPM/id/711959/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/711960/format/3
BC.015946,Iraq,Umma (Tell Jokha),,clay,tablet,Ur III,P144560,YBC 01205,$S.UR3.03.12.--,archival,"obv5, rev5",SAT No. 1360 (T),,http://deliver.odai.yale.edu/content/repository/YPM/id/711961/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/711962/format/3
BC.015947,Iraq,Umma (Tell Jokha),,clay,tablet,Ur III,P145187,YBC 01206,$S.UR3.03.04.--,archival,"obv6, rev2, RE1",SAT No. 1987 (T),,http://deliver.odai.yale.edu/content/repository/YPM/id/711963/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/711964/format/3
BC.015948,Iraq,Umma (Tell Jokha),,clay,tablet,Ur III,P142217,YBC 01207,AS.UR3.08.--.--,archival,"obv6, rev5","YOS 4, 153 (C)",,http://deliver.odai.yale.edu/content/repository/YPM/id/711965/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/711966/format/3
BC.015949,Iraq,Umma (Tell Jokha),,clay,tablet,Ur III,P144557,YBC 01208,$S.UR3.03.05.--,archival,"obv7, rev8",SAT No. 1357 (T),,http://deliver.odai.yale.edu/content/repository/YPM/id/711967/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/711968/format/3
BC.015950,Iraq,Umma (Tell Jokha),,clay,tablet,Ur III,P144905,YBC 01209,$S.UR3.06.--.--,archival,"obv4, rev5",SAT No. 1705 (T),,http://deliver.odai.yale.edu/content/repository/YPM/id/711969/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/711970/format/3
BC.015951,Iraq,Umma (Tell Jokha),,clay,tablet,Ur III,P142069,YBC 01210,--.UR3.--.07.--,archival,"obv6, rev7","YOS 4, 5 (C)",,http://deliver.odai.yale.edu/content/repository/YPM/id/711971/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/711972/format/3
BC.015952,Iraq,Umma (Tell Jokha),,clay,tablet,Ur III,P143490,YBC 01211,$.UR3.41.09.--,archival,"obv7, LoE1, rev6",SAT No. 290 (T),,http://deliver.odai.yale.edu/content/repository/YPM/id/711973/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/711974/format/3
BC.015953,Iraq,Umma (Tell Jokha),,clay,tablet,Ur III,P144725,YBC 01212,$S.UR3.05.--.--,archival,"obv5, rev3",SAT No. 1525 (T),,http://deliver.odai.yale.edu/content/repository/YPM/id/711975/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/711976/format/3
BC.015954,Iraq,Umma (Tell Jokha),,clay,tablet,Ur III,P143952,YBC 01213,AS.UR3.03.03.--,archival,"obv8, rev7",SAT No. 752 (T),ni-dab5 ur3-lugal-ka,http://deliver.odai.yale.edu/content/repository/YPM/id/711977/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/711978/format/3
BC.015955,Iraq,Umma (Tell Jokha),,clay,tablet,Ur III,P144490,YBC 01214,$S.UR3.02.09.--,archival,"obv5, rev5",SAT No. 1290 (T),,http://deliver.odai.yale.edu/content/repository/YPM/id/711979/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/711980/format/3
BC.015956,Iraq,Umma (Tell Jokha),,clay,tablet,Ur III,P145009,YBC 01215,$S.UR3.07.--.--,archival,"obv5, rev3",SAT No. 1809 (T),,http://deliver.odai.yale.edu/content/repository/YPM/id/711981/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/711982/format/3
BC.015957,Iraq,Umma (Tell Jokha),,clay,tablet,Ur III,P145358,YBC 01216,nd.UR3.--.--.--,archival,"obv7, rev3",SAT No. 2158 (T),,http://deliver.odai.yale.edu/content/repository/YPM/id/711983/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/711984/format/3
BC.015958,Iraq,Umma (Tell Jokha),,clay,tablet,Ur III,P143715,YBC 01217,$.UR3.46.08.--,archival,"obv10, rev7",SAT No. 515 (T),$e dah-hu,http://deliver.odai.yale.edu/content/repository/YPM/id/711985/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/711986/format/3
BC.015959,Iraq,Umma (Tell Jokha),,clay,tablet,Ur III,P143953,YBC 01218,AS.UR3.03.--.--,archival,"obv9, rev5",SAT No. 753 (T),,http://deliver.odai.yale.edu/content/repository/YPM/id/711987/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/711988/format/3
BC.015960,Iraq,Umma (Tell Jokha),,clay,tablet,Ur III,P145106,YBC 01219,$S.UR3.09.--.--,archival,"obv4, rev1",SAT No. 1906 (T),,http://deliver.odai.yale.edu/content/repository/YPM/id/711989/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/711990/format/3
BC.015961,Iraq,Umma (Tell Jokha),,clay,tablet,Ur III,P144744,YBC 01220,$S.UR3.04.--.--,archival,"obv4, rev3",SAT No. 1544 (T),,http://deliver.odai.yale.edu/content/repository/YPM/id/711991/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/711992/format/3
BC.015962,Iraq,Umma (Tell Jokha),,clay,tablet,Ur III,P144904,YBC 01221,$S.UR3.06.08.--,archival,"obv5, rev3",SAT No. 1704 (T),,http://deliver.odai.yale.edu/content/repository/YPM/id/711993/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/711994/format/3
BC.015963,Iraq,Umma (Tell Jokha),,clay,tablet,Ur III,P144649,YBC 01222,$S.UR3.04.--.--,archival,"obv4, rev1",SAT No. 1449 (T),,http://deliver.odai.yale.edu/content/repository/YPM/id/711995/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/711996/format/3
BC.015964,Iraq,Umma (Tell Jokha),,clay,tablet,Ur III,P143804,YBC 01223,$.UR3.48.09.15,archival,"obv5, rev5",SAT No. 604 (T),,http://deliver.odai.yale.edu/content/repository/YPM/id/711997/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/711998/format/3
BC.015965,Iraq,Umma (Tell Jokha),,clay,tablet,Ur III,P144465,YBC 01224,$S.UR3.02.--.--,archival,"obv4, rev2",SAT No. 1265 (T),,http://deliver.odai.yale.edu/content/repository/YPM/id/711999/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/712000/format/3
BC.015966,Iraq,Umma (Tell Jokha),,clay,tablet,Ur III,P144071,YBC 01225,AS.UR3.05.--.--,archival,"obv5, rev2",SAT No. 871 (T),gu4 bu3-ra,http://deliver.odai.yale.edu/content/repository/YPM/id/712001/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/712002/format/3
BC.015967,Iraq,Umma (Tell Jokha),,clay,tablet,Ur III,P143260,YBC 01226,$.UR3.33.--.--?,archival,"obv7, rev4",SAT No. 61 (T),,http://deliver.odai.yale.edu/content/repository/YPM/id/712003/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/712004/format/3
BC.015968,Iraq,Umma (Tell Jokha),,clay,tablet,Ur III,P143694,YBC 01227,$.UR3.46.--.--,archival,"obv8, rev5",SAT No. 494 (T),,http://deliver.odai.yale.edu/content/repository/YPM/id/712005/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/712006/format/3
BC.015969,Iraq,Umma (Tell Jokha),,clay,tablet,Ur III,P144903,YBC 01228,$S.UR3.06.--.--,archival,"obv4, rev2",SAT No. 1703 (T),,http://deliver.odai.yale.edu/content/repository/YPM/id/712007/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/712008/format/3
BC.015970,Iraq,Umma (Tell Jokha),,clay,tablet,Ur III,P293343,YBC 01229,nd.UR3.--.--.--,archival,"obv3, rev5",unpublished,,http://deliver.odai.yale.edu/content/repository/YPM/id/712009/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/712010/format/3
BC.015971,Iraq,Drehem,,clay,tablet,Ur III,P145071,YBC 01230,$S.UR3.09.06.--,archival,"obv5, rev4",SAT No. 1871 (T),,http://deliver.odai.yale.edu/content/repository/YPM/id/712011/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/712012/format/3
BC.015972,Iraq,Umma (Tell Jokha),,clay,tablet,Ur III,P143312,YBC 01231,$.UR3.34.--.--,archival,"obv10, rev8, UE1, LeE1",SAT No. 113 (T),,http://deliver.odai.yale.edu/content/repository/YPM/id/712013/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/712014/format/3
BC.015973,Iraq,Umma (Tell Jokha),,clay,tablet,Ur III,P144491,YBC 01232,--.UR3.lost,archival,"obv4, rev4",SAT No. 1291 (T),,http://deliver.odai.yale.edu/content/repository/YPM/id/712015/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/712016/format/3
BC.015974,Iraq,Umma (Tell Jokha),,clay,tablet,Ur III,P143805,YBC 01233,$.UR3.48.07.--,archival,"obv4, rev4",SAT No. 605 (T),,http://deliver.odai.yale.edu/content/repository/YPM/id/712017/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/712018/format/3
BC.015975,Iraq,Umma (Tell Jokha),,clay,tablet,Ur III,P142068,YBC 01234,$S.UR3.07.--.--,archival,"obv9, rev5+","YOS 4, 4 (C)",,http://deliver.odai.yale.edu/content/repository/YPM/id/712019/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/712020/format/3
BC.015976,Iraq,Umma (Tell Jokha),,clay,tablet,Ur III,P142118,YBC 01235,AS.UR3.09.--.--,archival,"obv5, rev7","YOS 4, 54 (C)",,http://deliver.odai.yale.edu/content/repository/YPM/id/712021/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/712022/format/3
BC.015977,Iraq,Umma (Tell Jokha),,clay,tablet,Ur III,P142240,YBC 01236,$S.UR3.05.--.--,archival,"obv4, rev4","YOS 4, 176 (C)",,http://deliver.odai.yale.edu/content/repository/YPM/id/712023/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/712024/format/3
BC.015978,Iraq,Umma (Tell Jokha),,clay,tablet,Ur III,P144288,YBC 01237,AS.UR3.08.--.--,archival,"obv5, rev1",SAT No. 1088 (T),,http://deliver.odai.yale.edu/content/repository/YPM/id/712025/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/712026/format/3
BC.015979,Iraq,Umma (Tell Jokha),,clay,tablet,Ur III,P144691,YBC 01238,$S.UR3.03.--.--,archival,"obv4, rev1",SAT No. 1491 (T),,http://deliver.odai.yale.edu/content/repository/YPM/id/712027/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/712028/format/3
BC.015980,Iraq,Umma (Tell Jokha),,clay,tablet,Ur III,P144900,YBC 01239,$S.UR3.06.--.--,archival,"obv5, rev6, UE1, LeE2",SAT No. 1700 (T),,http://deliver.odai.yale.edu/content/repository/YPM/id/712029/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/712030/format/3
BC.015981,Iraq,Umma (Tell Jokha),,clay,tablet,Ur III,P144713,YBC 01240,$S.UR3.04.--.--,archival,"obv4, rev3",SAT No. 1513 (T),,http://deliver.odai.yale.edu/content/repository/YPM/id/712031/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/712032/format/3
BC.015982,Iraq,Umma (Tell Jokha),,clay,tablet,Ur III,P145164,YBC 01241,IS.UR3.02.03.--,archival,"obv4, rev4",SAT No. 1964 (T),$e sar,http://deliver.odai.yale.edu/content/repository/YPM/id/712033/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/712034/format/3
BC.015983,Iraq,Umma (Tell Jokha),,clay,tablet,Ur III,P143849,YBC 01242,AS.UR3.01.04.--,archival,"obv8, rev6",SAT No. 649 (T),,http://deliver.odai.yale.edu/content/repository/YPM/id/712035/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/712036/format/3
BC.015984,Iraq,Umma (Tell Jokha),,clay,tablet,Ur III,P143660,YBC 01243,$.UR3.46.05.--,archival,"obv6, rev4",SAT No. 460 (T),,http://deliver.odai.yale.edu/content/repository/YPM/id/712037/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/712038/format/3
BC.015985,Iraq,Umma (Tell Jokha),,clay,tablet,Ur III,P142241,YBC 01244,$S.UR3.07.--.--,archival,"obv5, rev3","YOS 4, 177 (C)",,http://deliver.odai.yale.edu/content/repository/YPM/id/712039/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/712040/format/3
BC.015986,Iraq,Umma (Tell Jokha),,clay,tablet,Ur III,P144901,YBC 01245,$S.UR3.06.--.--,archival,"obv5, rev2",SAT No. 1701 (T),,http://deliver.odai.yale.edu/content/repository/YPM/id/712041/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/712042/format/3
BC.015987,Iraq,Umma (Tell Jokha),,clay,tablet,Ur III,P144714,YBC 01246,$S.UR3.04.--.--,archival,"obv6, rev5",SAT No. 1514 (T),,http://deliver.odai.yale.edu/content/repository/YPM/id/712043/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/712044/format/3
BC.015988,Iraq,Umma (Tell Jokha),,clay,tablet,Ur III,P144802,YBC 01247,$S.UR3.05.--.--,archival,"obv6, rev6",SAT No. 1602 (T),,http://deliver.odai.yale.edu/content/repository/YPM/id/712045/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/712046/format/3
BC.015989,Iraq,Umma (Tell Jokha),,clay,tablet,Ur III,P144324,YBC 01248,AS.UR3.09.--.--,archival,"obv5, rev6",SAT No. 1124 (T),,http://deliver.odai.yale.edu/content/repository/YPM/id/712047/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/712048/format/3
BC.015990,Iraq,Umma (Tell Jokha),,clay,tablet,Ur III,P144602,YBC 01249,$S.UR3.03.--.--,archival,"obv6, rev3",SAT No. 1402 (T),,http://deliver.odai.yale.edu/content/repository/YPM/id/712049/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/712050/format/3
BC.015991,Iraq,Umma (Tell Jokha),,clay,tablet,Ur III,P144715,YBC 01250,$S.UR3.04.--.--,archival,"obv8, rev8",SAT No. 1515 (T),,http://deliver.odai.yale.edu/content/repository/YPM/id/712051/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/712052/format/3
BC.015992,Iraq,Umma (Tell Jokha),,clay,tablet,Ur III,P145093,YBC 01251,$S.UR3.09.--.--,archival,"obv8, rev5",SAT No. 1893 (T),,http://deliver.odai.yale.edu/content/repository/YPM/id/712053/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/712054/format/3
BC.015993,Iraq,Umma (Tell Jokha),,clay,tablet,Ur III,P144162,YBC 01252,AS.UR3.06.--.--,archival,"obv6, rev5",SAT No. 962 (T),,http://deliver.odai.yale.edu/content/repository/YPM/id/712055/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/712056/format/3
BC.015994,Iraq,Umma (Tell Jokha),,clay,tablet,Ur III,P144072,YBC 01253,AS.UR3.05.02.--,archival,"obv4, rev2",SAT No. 872 (T),,http://deliver.odai.yale.edu/content/repository/YPM/id/712057/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/712058/format/3
BC.015995,Iraq,Umma (Tell Jokha),,clay,tablet,Ur III,P144987,YBC 01254,$S.UR3.07.01.--,archival,"obv7, rev5",SAT No. 1787 (T),,http://deliver.odai.yale.edu/content/repository/YPM/id/712059/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/712060/format/3
BC.015996,Iraq,Umma (Tell Jokha),,clay,tablet,Ur III,P142097,YBC 01255,$.UR3.44.03.--,archival,"obv5, rev3","YOS 4, 33 (C)",,http://deliver.odai.yale.edu/content/repository/YPM/id/712062/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/712061/format/3
BC.015997,Iraq,Umma (Tell Jokha),,clay,tablet,Ur III,P142091,YBC 01256,IS.UR3.04.01.--,archival,"obv5, rev5","YOS 4, 27 (C)",,http://deliver.odai.yale.edu/content/repository/YPM/id/712063/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/712064/format/3
BC.015998,Iraq,Umma (Tell Jokha),,clay,tablet,Ur III,P142113,YBC 01257,IS.UR3.02.--.--,archival,"obv5, rev5","YOS 4, 49 (C)",,http://deliver.odai.yale.edu/content/repository/YPM/id/712065/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/712066/format/3
BC.015999,Iraq,Umma (Tell Jokha),,clay,tablet,Ur III,P143767,YBC 01258,$.UR3.47.--.--,archival,"obv6, rev1",SAT No. 567 (T),,http://deliver.odai.yale.edu/content/repository/YPM/id/712067/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/712068/format/3
BC.016000,Iraq,Umma (Tell Jokha),,clay,tablet,Ur III,P144745,YBC 01259,$S.UR3.04.--.--,archival,"obv6, rev4",SAT No. 1545 (T),,http://deliver.odai.yale.edu/content/repository/YPM/id/712069/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/712070/format/3
BC.016001,Iraq,Umma (Tell Jokha),,clay,tablet,Ur III,P142107,YBC 01260,IS.UR3.01.01.02,archival,"obv6, rev6, LeE1","YOS 4, 43 (C)",,http://deliver.odai.yale.edu/content/repository/YPM/id/712071/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/712072/format/3
BC.016002,Iraq,Umma (Tell Jokha),,clay,tablet,Ur III,P142212,YBC 01261,$S.UR3.04.--.--,archival,"obv5, rev3","YOS 4, 148 (C)",,http://deliver.odai.yale.edu/content/repository/YPM/id/712073/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/712074/format/3
BC.016003,Iraq,Drehem,,clay,tablet,Ur III,P144289,YBC 01262,AS.UR3.08.06.27,archival,"obv9, rev11, LeE1",SAT No. 1089 (T),,http://deliver.odai.yale.edu/content/repository/YPM/id/712075/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/712076/format/3
BC.016004,Iraq,Umma (Tell Jokha),,clay,tablet,Ur III,P144561,YBC 01263,$S.UR3.03.--.--,archival,"obv7, rev6",SAT No. 1361 (T),,http://deliver.odai.yale.edu/content/repository/YPM/id/712077/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/712078/format/3
BC.016005,Iraq,Umma (Tell Jokha),,clay,tablet,Ur III,P143807,YBC 01264,$.UR3.48.--.--,archival,"obv6, rev6",SAT No. 607 (T),,http://deliver.odai.yale.edu/content/repository/YPM/id/712079/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/712080/format/3
BC.016006,Iraq,Drehem,,clay,tablet,Ur III,P144234,YBC 01265,AS.UR3.07.12.05,archival,"obv9, rev11, UE2, LeE2",SAT No. 1034 (T),,http://deliver.odai.yale.edu/content/repository/YPM/id/712081/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/712082/format/3
BC.016007,Iraq,Umma (Tell Jokha),,clay,tablet,Ur III,P144156,YBC 01266,$.UR3.42.01D.--,archival,"obv7, rev7, UE2, LeE2",SAT No. 956 (T),,http://deliver.odai.yale.edu/content/repository/YPM/id/712083/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/712084/format/3
BC.016008,Iraq,Umma (Tell Jokha),,clay,tablet,Ur III,P144971,YBC 01267,$S.UR3.06.--.--,archival,"obv6, rev5",SAT No. 1771 (T),,http://deliver.odai.yale.edu/content/repository/YPM/id/712085/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/712086/format/3
BC.016009,Iraq,Umma (Tell Jokha),,clay,tablet,Ur III,P145007,YBC 01268,$S.UR3.07.06.--,archival,"obv6, rev3",SAT No. 1807 (T),,http://deliver.odai.yale.edu/content/repository/YPM/id/712087/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/712088/format/3
BC.016010,Iraq,Umma (Tell Jokha),,clay,tablet,Ur III,P142090,YBC 01269,$S.UR3.01.--.--,archival,"obv10, LoE1, rev11","YOS 4, 26 (C)",,http://deliver.odai.yale.edu/content/repository/YPM/id/712089/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/712090/format/3
BC.016011,Iraq,Umma (Tell Jokha),,clay,tablet,Ur III,P145008,YBC 01270,$S.UR3.07.--.--,archival,"obv9, rev7",SAT No. 1808 (T),,http://deliver.odai.yale.edu/content/repository/YPM/id/712091/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/712092/format/3
BC.016012,Iraq,Umma (Tell Jokha),,clay,tablet,Ur III,P145072,YBC 01271,$S.UR3.09.--.--,archival,"obv5, rev1",SAT No. 1872 (T),,http://deliver.odai.yale.edu/content/repository/YPM/id/712093/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/712094/format/3
BC.016013,Iraq,Umma (Tell Jokha),,clay,tablet,Ur III,P142162,YBC 01272,??.UR3.??.--.--.-- ,archival,"obv7, rev7, UE1",,,http://deliver.odai.yale.edu/content/repository/YPM/id/712095/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/712096/format/3
BC.016014,Iraq,Umma (Tell Jokha),,clay,tablet,Ur III,P142084,YBC 01273,IS.UR3.02.12.--,archival,"obv6, rev8","YOS 4, 20 (C)",,http://deliver.odai.yale.edu/content/repository/YPM/id/712097/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/712098/format/3
BC.016015,Iraq,Umma (Tell Jokha),,clay,tablet,Ur III,P142116,YBC 01274,IS.UR3.01.--.--,archival,"obv4, rev7","YOS 4, 52 (C)",,http://deliver.odai.yale.edu/content/repository/YPM/id/712099/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/712100/format/3
BC.016016,Iraq,Umma (Tell Jokha),,clay,tablet,Ur III,P142119,YBC 01275,IS.UR3.01.--.--,archival,"obv5, rev7, LeE1","YOS 4, 55 (C)",,http://deliver.odai.yale.edu/content/repository/YPM/id/712101/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/712102/format/3
BC.016017,Iraq,Umma (Tell Jokha),,clay,tablet,Ur III,P142086,YBC 01276,IS.UR3.03.--.--,archival,"obv6, rev6","YOS 4, 22 (C)",,http://deliver.odai.yale.edu/content/repository/YPM/id/712103/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/712104/format/3
BC.016018,Iraq,Umma (Tell Jokha),,clay,tablet,Ur III,P144716,YBC 01277,$S.UR3.04.--.--,archival,"obv7, rev7",SAT No. 1516 (T),,http://deliver.odai.yale.edu/content/repository/YPM/id/712105/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/712106/format/3
BC.016019,Iraq,Umma (Tell Jokha),,clay,tablet,Ur III,P145195,YBC 01278,IS.UR3.03.--.--,archival,"obv6, rev3",SAT No. 1995 (T),,http://deliver.odai.yale.edu/content/repository/YPM/id/712107/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/712108/format/3
BC.016020,Iraq,Umma (Tell Jokha),,clay,tablet,Ur III,P144514,YBC 01279,$S.UR3.02.07.--,archival,"obv6, rev3, UE1",SAT No. 1314 (T),,http://deliver.odai.yale.edu/content/repository/YPM/id/712109/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/712110/format/3
BC.016021,Iraq,Umma (Tell Jokha),,clay,tablet,Ur III,P145006,YBC 01280,$S.UR3.07.--.--,archival,"obv5, rev4",SAT No. 1806 (T),,http://deliver.odai.yale.edu/content/repository/YPM/id/712111/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/712112/format/3
BC.016022,Iraq,Umma (Tell Jokha),,clay,tablet,Ur III,P142179,YBC 01281,nd.UR3.--.--.--,archival,"obv5, rev3","YOS 4, 115 (C)",,http://deliver.odai.yale.edu/content/repository/YPM/id/712113/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/712114/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/712115/format/3
BC.016023,Iraq,Umma (Tell Jokha),,clay,tablet,Ur III,P142260,YBC 01282,$S.UR3.07.--.--,archival,"obv5, rev3","YOS 4, 196 (C)",,http://deliver.odai.yale.edu/content/repository/YPM/id/712116/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/712117/format/3
