URI,Title,RecordId,Coin Type URI,From Date,To Date,Artist,SubjectEvent,SubjectIssuer,SubjectPerson,SubjectPlace,Authority,Coin Type,Degree,Deity,Denomination,Department,Dynasty,Engraver,Issuer,Maker,Manufacture,Material,Mint,Object Type,Portrait,Reference,Region,Script,State,Obverse Legend,Obverse Type,Reverse Legend,Reverse Type,Date on Object,Ah,Axis,Diameter,Weight,Thumbnail_obv,Thumbnail_rev,Date Record Modified
http://numismatics.org/collection/1965.17.1,"Gold dinar of Nuh III ibn Mansur I/al-Wali Muhammad/Muhammad, Harat, 366 H. 1965.17.1",1965.17.1,,976.0,977.0,,,,,,Nuh III ibn Mansur I||al-Wali Muhammad||Muhammad,,,,dinar,Islamic,Simjurid \ Samanid,,,,,Gold,Harat,Coin,,,Mashriq,,Samanids,,,,,,366.0,7.0,24.0,2.93,http://numismatics.org/collectionimages/19501999/1965/1965.17.1.obv.width175.jpg,http://numismatics.org/collectionimages/19501999/1965/1965.17.1.rev.width175.jpg,2020-07-31T01:12:34Z
http://numismatics.org/collection/1965.17.2,"Gold dinar of Nuh I ibn Nasr II, Nisabur, 337 H. 1965.17.2",1965.17.2,,948.0,949.0,"BLHRB (obv., 9:00)",,,,,Nuh I ibn Nasr II,,,,dinar,Islamic,Samanid,,,,,Gold,Nisabur,Coin,,Album,Mashriq,,Samanids,,,,,,337.0,,,,http://numismatics.org/collectionimages/19501999/1965/1965.17.2.obv.width175.jpg,http://numismatics.org/collectionimages/19501999/1965/1965.17.2.rev.width175.jpg,2020-07-31T01:11:59Z
http://numismatics.org/collection/1965.17.4,"Gold dinar of Nuh III ibn Mansur I/Husam al-Dawla, Nisabur, 373 H. 1965.17.4",1965.17.4,,983.0,984.0,,,,,,Nuh III ibn Mansur I||Husam al-Dawla,,,,dinar,Islamic,Samanid,,,,,Gold,Nisabur,Coin,,Album,Mashriq,,Samanids,,,,,,373.0,,,,http://numismatics.org/collectionimages/19501999/1965/1965.17.4.obv.width175.jpg,http://numismatics.org/collectionimages/19501999/1965/1965.17.4.rev.width175.jpg,2020-07-31T01:12:04Z
http://numismatics.org/collection/1965.17.6,"Gold dinar of Muhammad I/Sanjar, Nishapur/Nisabur, xxx H. 1965.17.6",1965.17.6,,1097.0,1118.0,,,,,,Muhammad I||Sanjar,,,,dinar,Islamic,Great Seljuq,,,,,Gold,Nishapur||Nisabur,Coin,,,Mashriq,,,,,,,,,,22.0,3.286,http://numismatics.org/collectionimages/19501999/1965/1965.17.6.obv.width175.jpg,http://numismatics.org/collectionimages/19501999/1965/1965.17.6.rev.width175.jpg,2020-07-31T01:12:28Z
http://numismatics.org/collection/1965.243.16,"Silver dirham of Mansur I ibn Nuh I/Ja`far b. `Ali, Rasht (Samanid), 366 H. 1965.243.16",1965.243.16,,976.0,977.0,,,,,,Mansur I ibn Nuh I||Ja`far b. `Ali,,,,dirham,Islamic,Samanid,,,,,Silver,Rasht (Samanid),Coin,,Album,Mashriq,,Samanids,,,,,,366.0,,30.0,2.88,http://numismatics.org/collectionimages/19501999/1965/1965.243.16.obv.width175.jpg,http://numismatics.org/collectionimages/19501999/1965/1965.243.16.rev.width175.jpg,2020-07-31T01:11:00Z
http://numismatics.org/collection/1919.999.37,"Copper alloy 1/4 budju of Mustafa III, Jaza'ir, 1172 H. 1919.999.37",1919.999.37,,1758.0,1759.0,,,,,,Mustafa III,,,,1/4 budju,Islamic,Ottoman,,,,,Copper alloy,Jaza'ir,Coin,,,Maghrib,,Ottoman Empire,,,,,,1172.0,,21.0,3.292,http://numismatics.org/collectionimages/19001949/1919/1919.999.37.obv.width175.jpg,http://numismatics.org/collectionimages/19001949/1919/1919.999.37.rev.width175.jpg,2020-07-31T01:08:24Z
http://numismatics.org/collection/1967.154.7,"Gold dinar of Narseh, Mashriq, AD 293 - AD 303. 1967.154.7",1967.154.7,,293.0,303.0,,,,,,Narseh,,,,dinar,Islamic,Sasanian,,,,,Gold,,Coin,,,Mashriq,,,,,,,,,3.0,19.0,7.41,http://numismatics.org/collectionimages/19501999/1967/1967.154.7.obv.width175.jpg,http://numismatics.org/collectionimages/19501999/1967/1967.154.7.rev.width175.jpg,2020-07-31T01:10:18Z
http://numismatics.org/collection/1919.999.30,"Silver dirham of Saladin, Dimashq, 586 H. 1919.999.30",1919.999.30,,1190.0,1191.0,,,,,,Saladin,,,,dirham,Islamic,Ayyubid at Damascus,,,,,Silver,Dimashq,Coin,,,Syria,,Ayyubids,,,,,,586.0,,,,http://numismatics.org/collectionimages/19001949/1919/1919.999.30.obv.width175.jpg,http://numismatics.org/collectionimages/19001949/1919/1919.999.30.rev.width175.jpg,2020-07-31T01:11:52Z
http://numismatics.org/collection/1919.999.38,"Silver 1/4 budju of Mustafa III, Jaza'ir, 1182 H. 1919.999.38",1919.999.38,,1768.0,1769.0,,,,,,Mustafa III,,,,1/4 budju,Islamic,Ottoman,,,,,Silver,Jaza'ir,Coin,,,Maghrib,,Ottoman Empire,,,,,,1182.0,,21.0,3.385,http://numismatics.org/collectionimages/19001949/1919/1919.999.38.obv.width175.jpg,http://numismatics.org/collectionimages/19001949/1919/1919.999.38.rev.width175.jpg,2020-07-31T01:13:18Z
http://numismatics.org/collection/1919.999.46,"Copper alloy 1/2 fals, Tatwan, 1249 H. 1919.999.46",1919.999.46,,1833.0,1834.0,,,,,,,,,,1/2 fals,Islamic,`Alawi Sharifs (Fileyli),,,,,Copper alloy,Tatwan,Coin,,,Maghrib,,,,,,,,1249.0,,,,http://numismatics.org/collectionimages/19001949/1919/1919.999.46.obv.width175.jpg,http://numismatics.org/collectionimages/19001949/1919/1919.999.46.rev.width175.jpg,2020-07-31T01:09:37Z
http://numismatics.org/collection/1919.999.47,"Copper alloy 1/2 fals, Tatwan, 1249 H. 1919.999.47",1919.999.47,,1833.0,1834.0,,,,,,,,,,1/2 fals,Islamic,`Alawi Sharifs (Fileyli),,,,,Copper alloy,Tatwan,Coin,,,Maghrib,,,,,,,,1249.0,,,,http://numismatics.org/collectionimages/19001949/1919/1919.999.47.obv.width175.jpg,http://numismatics.org/collectionimages/19001949/1919/1919.999.47.rev.width175.jpg,2020-07-31T01:15:06Z
http://numismatics.org/collection/1947.130.1,"Copper alloy falus, Sa'ujbulagh, 123x H. 1947.130.1",1947.130.1,,1814.0,1824.0,,,,,,,,,,falus,Islamic,autonomous AE of Caucasus,,,,,Copper alloy,Sa'ujbulagh,Coin,,,Caucasus,,,,ibex r. head l.,,,,,,20.0,4.006,http://numismatics.org/collectionimages/19001949/1947/1947.130.1.obv.width175.jpg,http://numismatics.org/collectionimages/19001949/1947/1947.130.1.rev.width175.jpg,2020-07-31T01:14:00Z
http://numismatics.org/collection/2005.28.4,"Copper alloy fals, Damascus, 692 - 694. 2005.28.4",2005.28.4,,692.0,694.0,,,,,,,,,,fals,Islamic,Umayyad,,,,,Copper alloy,Damascus,Coin,,BMCArabByz 7-10SIC.560-62Album.3517,Syria,,,"""L/E/o""","crowned standing emperor, facing, wearing long robes, holding long cruciform scepter in right hand and globus cruciger in left hand.","in center: ""M""; to left: ""A/N/A""; to right: ""X/U/II""; in exergue: ""DAM""","above ""M"": Heraclian monogram; between uprights of ""M"": supine crescent and step.",,,5.0,18.6,2.203,http://numismatics.org/collectionimages/20002049/2005/2005.28.4.obv.width175.jpg,http://numismatics.org/collectionimages/20002049/2005/2005.28.4.rev.width175.jpg,2020-07-31T01:15:37Z
